DATE,CLVMNACSCAB1GQEL_PC1
1996-01-01,2.63261
1996-04-01,2.25261
1996-07-01,3.08884
1996-10-01,3.58113
1997-01-01,3.60987
1997-04-01,4.78483
1997-07-01,5.02776
1997-10-01,4.91771
1998-01-01,5.57497
1998-04-01,4.25471
1998-07-01,2.97617
1998-10-01,2.80732
1999-01-01,2.36160
1999-04-01,2.86193
1999-07-01,2.89645
1999-10-01,3.72426
2000-01-01,3.33058
2000-04-01,3.31883
2000-07-01,4.84783
2000-10-01,4.66238
2001-01-01,5.55707
2001-04-01,4.31717
2001-07-01,4.06445
2001-10-01,2.88017
2002-01-01,2.45247
2002-04-01,5.02256
2002-07-01,3.94300
2002-10-01,4.46758
2003-01-01,5.77852
2003-04-01,5.29506
2003-07-01,5.34778
2003-10-01,6.77610
2004-01-01,6.51085
2004-04-01,4.63794
2004-07-01,5.37314
2004-10-01,2.77479
2005-01-01,0.33579
2005-04-01,0.59295
2005-07-01,0.64895
2005-10-01,1.54041
2006-01-01,5.46907
2006-04-01,5.54197
2006-07-01,4.59123
2006-10-01,6.71634
2007-01-01,2.53734
2007-04-01,5.19997
2007-07-01,4.04765
2007-10-01,0.96421
2008-01-01,2.38573
2008-04-01,-1.14764
2008-07-01,-0.62474
2008-10-01,-1.52477
2009-01-01,-6.77035
2009-04-01,-3.56452
2009-07-01,-4.17067
2009-10-01,-2.68840
2010-01-01,-3.62511
2010-04-01,-9.63566
2010-07-01,-11.95738
2010-10-01,-12.56456
2011-01-01,-11.09300
2011-04-01,-9.31218
2011-07-01,-8.19021
2011-10-01,-11.95500
2012-01-01,-8.22316
2012-04-01,-8.37280
2012-07-01,-7.87327
2012-10-01,-4.20775
2013-01-01,-5.05087
2013-04-01,-3.23333
2013-07-01,-1.54373
2013-10-01,-0.15830
2014-01-01,0.53950
2014-04-01,0.48195
2014-07-01,1.35026
2014-10-01,-0.17619
2015-01-01,0.58418
2015-04-01,0.51718
2015-07-01,-2.42493
2015-10-01,0.38486
2016-01-01,-1.21408
2016-04-01,-1.31400
2016-07-01,0.90612
2016-10-01,-0.27797
2017-01-01,0.67248
2017-04-01,1.27053
2017-07-01,1.98952
2017-10-01,0.28507
2018-01-01,1.85016
2018-04-01,1.71640
2018-07-01,0.46175
2018-10-01,2.19496
2019-01-01,1.51840
2019-04-01,2.33779
2019-07-01,2.07068
2019-10-01,1.28529
2020-01-01,-1.64022
2020-04-01,-16.03687
2020-07-01,-10.72483
2020-10-01,-7.64893
2021-01-01,-2.23794
2021-04-01,14.71101
2021-07-01,11.93120
2021-10-01,9.17182
2022-01-01,7.69273
2022-04-01,6.81971
2022-07-01,4.03996
2022-10-01,4.31153
2023-01-01,1.92598
2023-04-01,2.67978
2023-07-01,2.12854
2023-10-01,1.27210
2024-01-01,2.14345
